t,x,u_num,u_exact
0.020200,0.969697,0.0948667367,0.0948667226
0.020200,0.979798,0.0632976092,0.0632975999
0.020200,0.989899,0.0316647465,0.0316647418
0.020200,1.000000,0.0000000000,0.0000000000
0.030200,0.000000,0.0000000000,0.0000000000
0.030200,0.010101,0.0316335123,0.0316335054
0.030200,0.020202,0.0632351724,0.0632351585
0.030200,0.030303,0.0947731601,0.0947731391
0.030200,0.040404,0.1262157191,0.1262156913
0.030200,0.050505,0.1575311897,0.1575311549
0.030200,0.060606,0.1886880397,0.1886879980
0.030200,0.070707,0.2196548968,0.2196548483
0.030200,0.080808,0.2504005801,0.2504005248
0.030200,0.090909,0.2808941312,0.2808940692
0.030200,0.101010,0.3111048458,0.3111047771
0.030200,0.111111,0.3410023041,0.3410022288
0.030200,0.121212,0.3705564020,0.3705563202
0.030200,0.131313,0.3997373810,0.3997372928
0.030200,0.141414,0.4285158584,0.4285157638
0.030200,0.151515,0.4568628566,0.4568627558
0.030200,0.161616,0.4847498327,0.4847497257
0.030200,0.171717,0.5121487067,0.5121485937
0.030200,0.181818,0.5390318905,0.5390317715
0.030200,0.191919,0.5653723148,0.5653721900
0.030200,0.202020,0.5911434571,0.5911433266
0.030200,0.212121,0.6163193680,0.6163192320
0.030200,0.222222,0.6408746976,0.6408745562
0.030200,0.232323,0.6647847207,0.6647845740
0.030200,0.242424,0.6880253620,0.6880252101
0.030200,0.252525,0.7105732200,0.7105730632
0.030200,0.262626,0.7324055910,0.7324054294
0.030200,0.272727,0.7535004917,0.7535003254
0.030200,0.282828,0.7738366813,0.7738365105
0.030200,0.292929,0.7933936829,0.7933935078
0.030200,0.303030,0.8121518043,0.8121516250
0.030200,0.313131,0.8300921577,0.8300919745
0.030200,0.323232,0.8471966786,0.8471964917
0.030200,0.333333,0.8634481444,0.8634479538
0.030200,0.343434,0.8788301910,0.8788299970
0.030200,0.353535,0.8933273301,0.8933271330
0.030200,0.363636,0.9069249643,0.9069247642
0.030200,0.373737,0.9196094020,0.9196091990
0.030200,0.383838,0.9313678709,0.9313676654
0.030200,0.393939,0.9421885314,0.9421883234
0.030200,0.404040,0.9520604879,0.9520602777
0.030200,0.414141,0.9609738001,0.9609735880
0.030200,0.424242,0.9689194932,0.9689192794
0.030200,0.434343,0.9758895665,0.9758893511
0.030200,0.444444,0.9818770017,0.9818767850
0.030200,0.454545,0.9868757700,0.9868755522
0.030200,0.464646,0.9908808381,0.9908806194
0.030200,0.474747,0.9938881732,0.9938879538
0.030200,0.484848,0.9958947471,0.9958945273
0.030200,0.494949,0.9968985394,0.9968983194
0.030200,0.505051,0.9968985394,0.9968983194
0.030200,0.515152,0.9958947471,0.9958945273
0.030200,0.525253,0.9938881732,0.9938879538
0.030200,0.535354,0.9908808381,0.9908806194
0.030200,0.545455,0.9868757700,0.9868755522
0.030200,0.555556,0.9818770017,0.9818767850
0.030200,0.565657,0.9758895665,0.9758893511
0.030200,0.575758,0.9689194932,0.9689192794
0.030200,0.585859,0.9609738001,0.9609735880
0.030200,0.595960,0.9520604879,0.9520602777
0.030200,0.606061,0.9421885314,0.9421883234
0.030200,0.616162,0.9313678709,0.9313676654
0.030200,0.626263,0.9196094020,0.9196091990
0.030200,0.636364,0.9069249643,0.9069247642
0.030200,0.646465,0.8933273301,0.8933271330
0.030200,0.656566,0.8788301910,0.8788299970
0.030200,0.666667,0.8634481444,0.8634479538
0.030200,0.676768,0.8471966786,0.8471964917
0.030200,0.686869,0.8300921577,0.8300919745
0.030200,0.696970,0.8121518043,0.8121516250
0.030200,0.707071,0.7933936829,0.7933935078
0.030200,0.717172,0.7738366813,0.7738365105
0.030200,0.727273,0.7535004917,0.7535003254
0.030200,0.737374,0.7324055910,0.7324054294
0.030200,0.747475,0.7105732200,0.7105730632
0.030200,0.757576,0.6880253620,0.6880252101
